,Attacker,Graph size,Episode lengths,Returns
339,round-robin,27,470,-109281
340,round-robin,27,492,-115048
341,round-robin,27,655,-65140
342,round-robin,27,546,-53497
343,round-robin,27,730,-52465
344,round-robin,27,336,-74614
345,round-robin,27,430,-54759
346,round-robin,27,432,-40185
347,round-robin,27,795,-93358
348,round-robin,27,493,-67790
349,round-robin,27,389,-60976
350,random,27,962,-97509
351,random,27,617,-73650
352,random,27,243,-82224
353,random,27,1008,-73650
354,random,27,1173,-138022
355,random,27,342,-76015
356,random,27,197,-44455
357,random,27,456,-107198
358,random,27,498,-126169
359,random,27,598,-48027
360,random,27,508,-33712
361,random,27,380,-63444
362,random,27,526,-48462
363,random,27,230,-133901
364,random,27,317,-113529
365,random,27,483,-28441
366,random,27,409,-68641
367,random,27,804,-68723
368,random,27,687,-45547
369,random,27,300,-77448
370,random,27,404,-94615
371,random,27,514,-87786
372,random,27,608,-89528
373,random,27,553,-61671
374,random,27,344,-60536
375,random,27,724,-52057
376,random,27,626,-75397
377,random,27,827,-58899
378,random,27,370,-71862
379,random,27,322,-62295
380,random,27,372,-56551
381,random,27,293,-60698
382,random,27,693,-129451
383,random,27,661,-50501
384,random,27,904,-54942
385,random,27,328,-72450
386,random,27,603,-43654
387,random,27,519,-59447
388,random,27,542,-38623
389,random,27,470,-109281
390,random,27,492,-115048
391,random,27,655,-65140
392,random,27,546,-53497
393,random,27,730,-52465
394,random,27,336,-74614
395,random,27,430,-54759
396,random,27,432,-40185
397,random,27,795,-93358
398,random,27,493,-67790
399,random,27,389,-60976
400,well-informed,44,831,-109388
401,well-informed,44,918,-127186
402,well-informed,44,462,-93826
403,well-informed,44,1112,-81618
404,well-informed,44,799,-94217
405,well-informed,44,551,-137140
406,well-informed,44,808,-131876
407,well-informed,44,834,-124001
408,well-informed,44,703,-123777
409,well-informed,44,723,-74593
410,well-informed,44,662,-43743
411,well-informed,44,787,-87472
412,well-informed,44,1306,-68515
413,well-informed,44,1051,-100386
414,well-informed,44,1077,-160155
415,well-informed,44,618,-109360
416,well-informed,44,760,-59311
417,well-informed,44,528,-90564
418,well-informed,44,746,-139871
419,well-informed,44,1147,-37992
420,well-informed,44,1024,-141996
421,well-informed,44,1042,-94635
422,well-informed,44,1043,-122968
423,well-informed,44,663,-97365
424,well-informed,44,793,-54302
425,well-informed,44,517,-78247
426,well-informed,44,816,-86334
427,well-informed,44,766,-214275
428,well-informed,44,714,-41876
429,well-informed,44,788,-123419
430,well-informed,44,1299,-146681
431,well-informed,44,1097,-84190
432,well-informed,44,1176,-75989
433,well-informed,44,713,-84555
434,well-informed,44,753,-128254
435,well-informed,44,688,-87097
436,well-informed,44,449,-79486
437,well-informed,44,946,-106402
438,well-informed,44,986,-53867
439,well-informed,44,674,-94559
440,well-informed,44,385,-165171
441,well-informed,44,1019,-103021
442,well-informed,44,638,-80382
443,well-informed,44,911,-128981
444,well-informed,44,403,-201639
445,well-informed,44,714,-155604
446,well-informed,44,977,-171404
447,well-informed,44,1589,-126940
448,well-informed,44,617,-124739
449,well-informed,44,617,-93853
450,informed,44,831,-109388
451,informed,44,918,-127186
452,informed,44,462,-93826
453,informed,44,1112,-81618
454,informed,44,799,-94217
455,informed,44,551,-137140
456,informed,44,808,-131876
457,informed,44,834,-124001
458,informed,44,703,-123777
459,informed,44,723,-74593
460,informed,44,662,-43743
461,informed,44,787,-87472
462,informed,44,1306,-68515
463,informed,44,1051,-100386
464,informed,44,1077,-160155
465,informed,44,618,-109360
466,informed,44,760,-59311
467,informed,44,528,-90564
468,informed,44,746,-139871
469,informed,44,1147,-37992
470,informed,44,1024,-141996
471,informed,44,1042,-94635
472,informed,44,1043,-122968
473,informed,44,663,-97365
474,informed,44,793,-54302
475,informed,44,517,-78247
476,informed,44,816,-86334
477,informed,44,766,-214275
478,informed,44,714,-41876
479,informed,44,788,-123419
480,informed,44,1299,-146681
481,informed,44,1097,-84190
482,informed,44,1176,-75989
483,informed,44,713,-84555
484,informed,44,753,-128254
485,informed,44,688,-87097
486,informed,44,449,-79486
487,informed,44,946,-106402
488,informed,44,986,-53867
489,informed,44,674,-94559
490,informed,44,385,-165171
491,informed,44,1019,-103021
492,informed,44,638,-80382
493,informed,44,911,-128981
494,informed,44,403,-201639
495,informed,44,714,-155604
496,informed,44,977,-171404
497,informed,44,1589,-126940
498,informed,44,617,-124739
499,informed,44,617,-93853
500,round-robin,44,831,-109388
501,round-robin,44,918,-127186
502,round-robin,44,462,-93826
503,round-robin,44,1112,-81618
504,round-robin,44,799,-94217
505,round-robin,44,551,-137140
506,round-robin,44,808,-131876
507,round-robin,44,834,-124001
508,round-robin,44,703,-123777
509,round-robin,44,723,-74593
510,round-robin,44,662,-43743
511,round-robin,44,787,-87472
512,round-robin,44,1306,-68515
513,round-robin,44,1051,-100386
514,round-robin,44,1077,-160155
515,round-robin,44,618,-109360
516,round-robin,44,760,-59311
517,round-robin,44,528,-90564
518,round-robin,44,746,-139871
519,round-robin,44,1147,-37992
520,round-robin,44,1024,-141996
521,round-robin,44,1042,-94635
522,round-robin,44,1043,-122968
523,round-robin,44,663,-97365
524,round-robin,44,793,-54302
525,round-robin,44,517,-78247
526,round-robin,44,816,-86334
527,round-robin,44,766,-214275
528,round-robin,44,714,-41876
529,round-robin,44,788,-123419
530,round-robin,44,1299,-146681
531,round-robin,44,1097,-84190
532,round-robin,44,1176,-75989
533,round-robin,44,713,-84555
534,round-robin,44,753,-128254
535,round-robin,44,688,-87097
536,round-robin,44,449,-79486
537,round-robin,44,946,-106402
538,round-robin,44,986,-53867
539,round-robin,44,674,-94559
540,round-robin,44,385,-165171
541,round-robin,44,1019,-103021
542,round-robin,44,638,-80382
543,round-robin,44,911,-128981
544,round-robin,44,403,-201639
545,round-robin,44,714,-155604
546,round-robin,44,977,-171404
547,round-robin,44,1589,-126940
548,round-robin,44,617,-124739
549,round-robin,44,617,-93853
550,random,44,831,-109388
551,random,44,918,-127186
552,random,44,462,-93826
553,random,44,1112,-81618
554,random,44,799,-94217
555,random,44,551,-137140
556,random,44,808,-131876
557,random,44,834,-124001
558,random,44,703,-123777
559,random,44,723,-74593
560,random,44,662,-43743
561,random,44,787,-87472
562,random,44,1306,-68515
563,random,44,1051,-100386
564,random,44,1077,-160155
565,random,44,618,-109360
566,random,44,760,-59311
567,random,44,528,-90564
568,random,44,746,-139871
569,random,44,1147,-37992
570,random,44,1024,-141996
571,random,44,1042,-94635
572,random,44,1043,-122968
573,random,44,663,-97365
574,random,44,793,-54302
575,random,44,517,-78247
576,random,44,816,-86334
577,random,44,766,-214275
578,random,44,714,-41876
579,random,44,788,-123419
580,random,44,1299,-146681
581,random,44,1097,-84190
582,random,44,1176,-75989
583,random,44,713,-84555
584,random,44,753,-128254
585,random,44,688,-87097
586,random,44,449,-79486
587,random,44,946,-106402
588,random,44,986,-53867
589,random,44,674,-94559
590,random,44,385,-165171
591,random,44,1019,-103021
592,random,44,638,-80382
593,random,44,911,-128981
